Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
45,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,16,2073,0,363,1908,,,[M]
12,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,187,2073,0,385,119,,Reflected,"[,]"
47,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,19,2073,0,363,1908,,Reflected,[O]
16,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,196,2073,0,363,1908,,Reflected,[0]
49,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,14,2073,0,363,1908,,,[Q]
14,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,206,2073,0,385,119,,Reflected,[.]
15,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,216,2073,0,385,119,,Reflected,[/]
53,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,18,2073,0,363,1908,,,[U]
20,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,222,2073,0,363,1908,,Reflected,[4]
54,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,12,2073,0,363,1908,,,[V]
7,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,235,2073,0,385,119,,,[']
4,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,246,2073,0,385,119,,,[$]
58,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,13,2073,0,363,1908,,,[Z]
19,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,248,2073,0,363,1908,,Reflected,[3]
59,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,11,2073,0,385,119,,,[[]
21,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,256,2073,0,363,1908,,Reflected,[5]
24,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,260,2073,0,363,1908,,Reflected,[8]
62,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,13,2073,0,385,119,,,[^]
17,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,274,2073,0,363,1908,,Reflected,[1]
18,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,277,2073,0,363,1908,,Reflected,[2]
65,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,12,2073,0,363,1908,,Reflected,[a]
23,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,280,2073,0,363,1908,,Reflected,[7]
22,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,284,2073,0,363,1908,,Reflected,[6]
29,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,239,2073,0,385,119,,,[=]
38,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,177,2073,0,363,1908,,Reflected,[F]
71,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,10,2073,0,363,1908,,Reflected,[g]
39,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,173,2073,0,363,1908,,,[G]
40,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,174,2073,0,363,1908,,,[H]
41,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,174,2073,0,363,1908,,,[I]
43,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,155,2073,0,363,1908,,,[K]
44,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,157,2073,0,363,1908,,Reflected,[L]
46,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,150,2073,0,363,1908,,Reflected,[N]
48,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,142,2073,0,363,1908,,Reflected,[P]
50,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,134,2073,0,363,1908,,,[R]
51,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,135,2073,0,363,1908,,Reflected,[S]
52,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,136,2073,0,363,1908,,,[T]
55,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,117,2073,0,363,1908,,,[W]
56,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,119,2073,0,363,1908,,,[X]
57,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,117,2073,0,363,1908,,,[Y]
60,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,101,2073,0,385,119,,,[\]
61,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,111,2073,0,385,119,,,[]]
87,Fuzzed,Sun Feb 22 21:06:15 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,15,2073,0,363,1908,,Reflected,[w]
63,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,107,2073,0,363,1908,,Reflected,[_]
88,Fuzzed,Sun Feb 22 21:06:15 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,8,2073,0,363,1908,,Reflected,[x]
64,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,109,2073,0,385,119,,,[`]
66,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,104,2073,0,363,1908,,Reflected,[b]
92,Fuzzed,Sun Feb 22 21:06:15 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,13,2073,0,385,119,,,[|]
67,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,115,2073,0,363,1908,,Reflected,[c]
68,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,116,2073,0,363,1908,,Reflected,[d]
94,Fuzzed,Sun Feb 22 21:06:15 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,17,2073,0,385,119,,,[~]
69,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,128,2073,0,363,1908,,Reflected,[e]
70,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,131,2073,0,363,1908,,Reflected,[f]
72,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,122,2073,0,363,1908,,Reflected,[h]
73,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,121,2073,0,363,1908,,Reflected,[i]
74,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,122,2073,0,363,1908,,Reflected,[j]
75,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,121,2073,0,363,1908,,Reflected,[k]
76,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,121,2073,0,363,1908,,Reflected,[l]
77,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,121,2073,0,363,1908,,Reflected,[m]
78,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,127,2073,0,363,1908,,Reflected,[n]
79,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,127,2073,0,363,1938,,Reflected,[o]
80,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,128,2073,0,363,1938,,Reflected,[p]
81,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,127,2073,0,363,1946,,Reflected,[q]
82,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,125,2073,0,363,1944,,Reflected,[r]
83,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,124,2073,0,363,1908,,Reflected,[s]
84,Fuzzed,Sun Feb 22 21:06:15 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,124,2073,0,363,1908,,Reflected,[t]
85,Fuzzed,Sun Feb 22 21:06:15 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,124,2073,0,363,1908,,Reflected,[u]
86,Fuzzed,Sun Feb 22 21:06:15 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,123,2073,0,363,1908,,Reflected,[v]
89,Fuzzed,Sun Feb 22 21:06:15 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,105,2073,0,363,1908,,Reflected,[y]
90,Fuzzed,Sun Feb 22 21:06:15 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,107,2073,0,363,1908,,,[z]
91,Fuzzed,Sun Feb 22 21:06:15 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,107,2073,0,385,119,,Reflected,[{]
93,Fuzzed,Sun Feb 22 21:06:15 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,104,2073,0,385,119,,Reflected,[}]
